keyCode,none,shift,ctrl,ctrl+shift,opt,opt+shift
0,a (97),A (65),^(1),^(1),\u00E5 (229),\u00C5 (197)
1,s (115),S (83),^(19),^(19),\u015F (351),\u015E (350)
2,d (100),D (68),^(4),^(4),\u2202 (8706),\u00CE (206)
3,f (102),F (70),^(6),^(6),\u0192 (402),\u00CF (207)
4,h (104),H (72),^(8),^(8),^ (94),\u00D3 (211)
5,g (103),G (71),^(7),^(7),\u011F (287),\u011E (286)
6,z (122),Z (90),^(26),^(26),\u03A9 (937),\u00DB (219)
7,x (120),X (88),^(24),^(24),\u2248 (8776),\u00D9 (217)
8,c (99),C (67),^(3),^(3),\u00E7 (231),\u00C7 (199)
9,v (118),V (86),^(22),^(22),\u221A (8730),\u25CA (9674)
10,\u00A7 (167),\u00B1 (177),0 (48),0 (48),-,-
11,b (98),B (66),^(2),^(2),\u222B (8747),\u00DF (223)
12,q (113),Q (81),^(17),^(17),\u0153 (339),\u0152 (338)
13,w (119),W (87),^(23),^(23),\u2211 (8721),\u201E (8222)
14,e (101),E (69),^(5),^(5),\u00B4 (180),\u2030 (8240)
15,r (114),R (82),^(18),^(18),\u00AE (174),\u00C2 (194)
16,y (121),Y (89),^(25),^(25),\u00A5 (165),\u00C1 (193)
17,t (116),T (84),^(20),^(20),\u20BA (8378),\u00CA (202)
18,1 (49),! (33),1 (49),1 (49),\u00A1 (161),\u00B7 (183)
19,2 (50),@ (64),2 (50),2 (50),\u2122 (8482),\u20AC (8364)
20,3 (51),# (35),3 (51),3 (51),\u00A3 (163),\uF8FF (63743)
21,4 (52),$ (36),4 (52),4 (52),\u00A2 (162),\u201A (8218)
22,6 (54),^ (94),6 (54),6 (54),\u00A7 (167),\u02D9 (729)
23,5 (53),% (37),5 (53),5 (53),\u221E (8734),\u02DA (730)
24,= (61),+ (43),+ (43),+ (43),\u2260 (8800),\u00B1 (177)
25,9 (57),( (40),9 (57),9 (57),\u00AA (170),\u00D8 (216)
26,7 (55),& (38),7 (55),7 (55),\u00B6 (182),\u2021 (8225)
27,- (45),_ (95),^(31),^(31),\u2013 (8211),\u2014 (8212)
28,8 (56),* (42),8 (56),8 (56),\u2022 (8226),\u00B0 (176)
29,0 (48),) (41),0 (48),0 (48),\u00BA (186),\u00F8 (248)
30,] (93),} (125),^(29),^(29),\u2018 (8216),\u2019 (8217)
31,o (111),O (79),^(15),^(15),\u00F6 (246),\u00D6 (214)
32,u (117),U (85),^(21),^(21),\u00FC (252),\u00DC (220)
33,[ (91),{ (123),^(27),^(27),\u201C (8220),\u201D (8221)
34,i (105),I (73),^(9),^(9),\u0131 (305),\u0130 (304)
35,p (112),P (80),^(16),^(16),\u03C0 (960),\u220F (8719)
37,l (108),L (76),^(12),^(12),\u00AC (172),\u00D2 (210)
38,j (106),J (74),^(10),^(10),\u2206 (8710),\u00D4 (212)
39,' (39),""" (34)",""" (34)",""" (34)",\u00E6 (230),\u00C6 (198)
40,k (107),K (75),^(11),^(11),\u00A8 (168),\u00A9 (169)
41,; (59),: (58),: (58),: (58),\u2026 (8230),\u00DA (218)
42,\ (92),| (124),^(28),^(28),\u00AB (171),\u00BB (187)
43,", (44)",< (60),", (44)",", (44)",\u2264 (8804),\u00AF (175)
44,/ (47),? (63),/ (47),/ (47),\u00F7 (247),\u00BF (191)
45,n (110),N (78),^(14),^(14),~ (126),\u02C6 (710)
46,m (109),M (77),^(13),^(13),\u00B5 (181),\u02DC (732)
47,. (46),> (62),. (46),. (46),\u2265 (8805),\u02D8 (728)
49,  (32),  (32),  (32),  (32),\u00A0 (160),\u00A0 (160)
50,` (96),~ (126),` (96),` (96),` (96),\u0178 (376)
65,. (46),. (46),. (46),. (46),. (46),. (46)
66,^(29),* (42),^(29),^(29),^(29),* (42)
67,* (42),* (42),* (42),* (42),* (42),* (42)
69,+ (43),+ (43),+ (43),+ (43),+ (43),+ (43)
70,^(28),+ (43),^(28),^(28),^(28),+ (43)
72,^(31),= (61),^(31),^(31),^(31),= (61)
75,/ (47),/ (47),/ (47),/ (47),/ (47),/ (47)
77,^(30),/ (47),^(30),^(30),^(30),/ (47)
78,- (45),- (45),- (45),- (45),- (45),- (45)
81,= (61),= (61),= (61),= (61),= (61),= (61)
82,0 (48),0 (48),0 (48),0 (48),0 (48),0 (48)
83,1 (49),1 (49),1 (49),1 (49),1 (49),1 (49)
84,2 (50),2 (50),2 (50),2 (50),2 (50),2 (50)
85,3 (51),3 (51),3 (51),3 (51),3 (51),3 (51)
86,4 (52),4 (52),4 (52),4 (52),4 (52),4 (52)
87,5 (53),5 (53),5 (53),5 (53),5 (53),5 (53)
88,6 (54),6 (54),6 (54),6 (54),6 (54),6 (54)
89,7 (55),7 (55),7 (55),7 (55),7 (55),7 (55)
91,8 (56),8 (56),8 (56),8 (56),8 (56),8 (56)
92,9 (57),9 (57),9 (57),9 (57),9 (57),9 (57)
93,\u00A7 (167),| (124),-,-,-,-
94,` (96),~ (126),` (96),` (96),` (96),\u0178 (376)
117,\u007F (127),\u007F (127),\u007F (127),\u007F (127),\u007F (127),\u007F (127)
